Word,Frequency
thala,2732
like,2355
mass,1682
vera,1498
trailer,1492
level,1216
fans,1123
movie,1079
super,1007
la,971
sir,925
padam,882
da,857
ah,833
ku,667
waiting,621
oru,590
hit,585
marana,580
semma,541
likes,534
bgm,533
iruku,521
thalaivar,518
rajini,494
anna,473
neraya,463
nu,459
love,455
vijay,452
fan,446
petta,439
ajith,439
and,435
star,415
you,415
is,410
sema,404
for,402
intha,398
enna,398
views,395
than,391
thalaiva,383
in,382
dialogue,371
but,352
to,348
viswasam,339
podunga,328
illa,325
mela,316
from,316
irukku,312
na,305
here,303
dislike,295
nalla,295
dhanush,289
pakka,275
thalapathy,271
bigil,270
vikram,263
mattum,262
tha,258
am,256
pola,251
trending,241
va,241
last,241
indha,240
style,238
ya,236
pink,233
tamil,233
yuvan,232
pannunga,225
no,219
of,215
kola,212
kaithi,210
hero,209
sk,209
release,203
ithu,203
all,200
best,198
ellam,195
innum,191
comment,190
panna,190
rajni,190
the,188
pongal,185
shankar,181
enga,178
pa,177
wait,176
sethupathi,174
million,174
oda,173
it,172
thaan,172
remake,171
nee,171
music,170
kumar,169
karthi,168
hindi,165
asinga,161
thalaivaa,159
neenga,156
maari,155
namma,154
oruthar,154
yen,154
en,151
wow,151
vara,150
asuran,142
king,141
acting,140
look,139
telugu,138
diwali,136
mari,136
masss,136
vida,136
irukum,134
this,132
superstar,130
my,130
one,129
dhan,129
mathiri,129
back,125
porom,125
scene,125
so,124
nkp,124
on,123
film,123
sweet,123
romba,122
teaser,122
konjam,120
idhu,119
ka,118
verithanam,118
hai,117
time,117
chiyaan,116
kerala,116
kuda,116
me,114
akshay,113
looks,112
blockbuster,112
ena,111
awesome,106
always,105
inga,105
mokka,104
nerkonda,100
karthik,100
ennada,100
iruntha,99
tharamana,99
lam,99
dai,99
dei,99
cinema,99
vjs,98
im,98
gethu,97
after,97
man,97
panni,96
leval,95
lama,94
siva,93
kena,93
mudiyathu,93
ha,93
vetri,93
tunggu,92
lagi,92
makkal,91
vaa,91
only,91
dha,91
hollywood,90
paarvai,90
unga,90
ipdi,90
ye,90
pandey,89
varum,89
sambavam,89
varanum,88
paaka,88
arjun,88
podu,87
are,87
video,87
entha,86
next,85
by,85
antha,84
vs,83
maranam,83
rajinikanth,82
big,82
ella,82
padatha,82
aa,81
daa,81
neraiya,81
paduthuringa,80
yaru,80
first,79
irukkum,79
thalaivaaa,79
untuk,78
epdi,78
avan,78
times,77
aana,76
good,76
naa,76
dislikes,75
saya,75
not,75
vfx,75
kooda,75
song,75
just,74
ippo,74
be,73
bro,73
summa,73
poi,72
lebih,72
its,72
ne,72
solravanga,71
ultimate,70
award,70
ana,70
voice,70
gv,70
vere,70
full,70
matum,69
kitta,69
tahu,68
who,67
selvan,67
pora,67
copy,67
padathula,67
very,67
pottu,66
superb,66
great,66
lvl,66
innoruthara,66
iruka,66
version,65
chiyan,65
visvasam,65
veriyan,65
more,65
eruku,65
ki,65
days,64
combo,64
rajani,64
ponga,64
screen,63
nice,63
pathutu,63
un,63
parak,62
varuthu,62
vanthu,62
action,62
vayasu,62
vj,62
neriya,62
ila,61
veri,61
feel,61
adichi,60
eh,60
kaga,60
flop,60
evlo,60
paraak,60
irundha,59
kaali,59
what,59
haters,59
get,58
andha,58
irukka,57
comments,57
thalaivaaaa,57
fdfs,57
vetrimaran,57
naraya,57
pannuga,57
paka,57
um,56
jai,56
surya,56
iam,56
youtube,55
nala,55
karnataka,55
vantha,55
yaaru,55
fight,55
ippadi,54
omg,54
see,54
naal,54
panunga,54
kollama,53
goosebumps,53
enaku,53
indian,53
ok,52
pathu,52
make,52
peru,52
luv,51
day,51
adichu,51
sonna,51
vanga,51
yar,51
ma,51
patha,50
ivlo,50
pls,50
we,50
ippa,50
happy,49
kandipa,49
sankar,49
support,49
athu,49
again,49
potu,49
rangaraj,48
power,48
buster,47
sarkar,47
iruken,47
at,47
ke,47
varuma,47
any,47
story,47
namba,47
sanda,47
set,47
block,46
irruku,46
inum,46
national,46
therika,46
ellarum,46
ur,45
that,45
lokesh,45
varala,45
yarellam,45
yenna,45
bloods,45
semmaya,45
irunthu,45
part,45
naan,45
seyal,45
raja,44
director,44
kandippa,44
ethana,44
bhai,44
uh,44
movies,44
pothu,43
ethu,43
theme,43
guys,43
thalaivaaaaaa,43
unna,42
eduthu,42
irukaru,42
if,42
pathi,42
sirappana,42
thalaivaaaaa,42
dance,42
sapda,42
katta,42
ra,42
age,42
god,42
with,42
ji,42
dhaan,42
kku,41
boss,41
subburaj,41
sivakarthikeyan,41
massss,41
name,41
kita,41
paatha,41
parunga,41
role,41
niraya,41
pera,41
will,40
thaliva,40
he,40
much,40
venum,40
many,40
india,40
thalapathi,40
malaysia,40
old,39
parvai,39
erukku,39
trailor,39
maran,39
padama,39
hard,39
class,39
st,39
vada,39
semaya,39
come,39
thalaya,39
or,39
please,39
soldravanga,39
record,39
young,39
itha,39
button,38
apdiye,38
getup,38
valimai,38
suriya,38
pathavanga,38
chinna,38
over,38
poguthu,38
ungala,38
ipo,38
up,38
maathiri,38
vanthavanga,37
dialog,37
as,37
better,37
view,37
nama,37
sri,37
masssss,37
thaa,37
periya,37
looking,37
le,37
nan,37
poda,37
ni,36
phone,36
manju,36
thana,36
per,36
sam,36
poringa,36
unlike,36
ready,36
plz,36
comedy,36
madhiri,35
nenga,35
night,35
mavane,35
ada,35
ayyo,35
munnadi,35
irukanum,35
yoda,35
batman,35
chennai,34
kulla,34
zero,34
die,34
agree,34
kudathu,34
prakash,34
solla,34
teejay,34
varaikum,34
kya,34
pasanga,34
pana,34
still,34
bollywood,34
real,33
konda,33
team,33
ta,33
thalaivara,33
varathu,33
how,33
amazing,33
think,33
inoruthara,33
rajinified,33
kadaram,33
wishes,33
eppa,33
eppadi,33
our,33
channel,33
yaar,33
odi,33
ko,33
krish,33
poduga,32
rocks,32
ore,32
kondu,32
thalaiver,32
eppavume,32
kids,32
evan,32
deepavali,32
ungaluku,32
ho,32
soon,32
now,32
annan,32
rajnikanth,32
kaala,32
onnum,32
padippa,32
actor,32
fire,31
delivery,31
ahh,31
want,31
rocking,31
main,31
mudiyala,31
ketta,30
climax,30
kamal,30
appo,30
sari,30
tharamaana,30
kondan,30
sethu,30
pongaluku,30
elam,30
padipa,29
kaidhi,29
title,29
therikka,29
watch,29
apo,29
iruke,29
namaku,29
thalai,29
sirapana,29
naanga,29
sama,29
end,29
yenda,29
nhi,29
kanagaraj,29
pani,29
niraiya,29
nadu,28
bhi,28
true,28
thanks,28
sure,28
miss,28
dont,28
words,28
illama,28
andhra,28
potta,28
daw,28
pongalukku,28
apdi,27
ungalukku,27
final,27
anil,27
punda,27
hi,27
ithula,27
adhu,27
paathutu,27
irukan,27
apram,27
thalivar,27
paa,27
danush,27
seen,27
nerya,27
cs,27
performance,27
mudiyadhu,27
say,27
maas,27
daily,26
new,26
line,26
verithanama,26
nahi,26
share,26
padathuku,26
his,26
koodathu,26
kannada,26
go,26
unaku,26
vandha,26
same,26
rasigan,26
ranjith,26
vela,26
confirm,26
ivan,26
waste,26
your,25
reach,25
nanga,25
ner,25
solra,25
sollunga,25
ini,25
theatre,25
malayalam,25
neega,25
mode,25
simran,25
thank,25
anyone,25
graphics,25
pannitu,25
august,25
valthukal,25
enada,25
inda,25
gvp,25
massu,25
vandhu,25
alavuku,25
irukinga,25
treat,25
podunge,25
ak,25
kuch,24
watching,24
nadakathu,24
agala,24
did,24
jan,24
stylish,24
beat,24
seems,24
kali,24
enakku,24
th,24
kum,24
epadi,24
act,24
thalaivan,24
world,24
aprm,24
idha,24
yov,24
adi,24
thirumba,24
dialogues,24
malay,24
mugamoodi,24
kon,24
different,23
laye,23
nadaka,23
