Word,Frequency
like,2087
Thala,1401
mass,1332
thala,1147
level,1135
trailer,1118
fans,955
la,934
movie,925
ah,819
vera,791
sir,787
da,775
Vera,692
super,641
padam,625
ku,567
iruku,505
waiting,493
oru,483
likes,474
nu,451
hit,444
and,404
fan,389
than,377
neraya,374
is,371
for,352
Trailer,349
semma,348
views,347
in,346
star,344
dialogue,338
love,331
you,328
marana,324
Super,323
to,318
podunga,313
illa,302
irukku,297
Mass,294
Vijay,285
bgm,282
here,278
sema,275
but,269
mela,267
intha,259
Thalaivar,256
na,255
Padam,253
Rajini,251
from,251
nalla,247
Marana,244
Anna,244
thalaivar,239
am,236
mattum,234
ya,231
pola,226
Like,223
tha,221
Ajith,221
enna,221
thalaiva,218
rajini,218
pakka,215
pannunga,212
anna,209
va,209
viswasam,206
Petta,201
petta,199
style,199
ajith,191
release,188
dislike,187
THALA,181
of,181
Semma,179
Enna,176
thaan,172
panna,167
pa,163
trending,162
Thalaiva,161
wait,157
oda,154
it,152
Dhanush,149
asinga,149
best,147
hero,147
million,146
the,145
BGM,145
vijay,145
comment,144
no,143
Vikram,143
Bigil,142
ithu,140
Intha,138
Thalapathy,137
indha,137
music,137
Shankar,137
Movie,135
maari,134
innum,134
Yuvan,133
ellam,133
yen,131
irukum,130
nee,130
Oruthar,127
enga,127
dhan,126
Last,126
pongal,126
neenga,125
Tamil,124
scene,124
Sir,123
look,122
mathiri,122
remake,122
acting,121
porom,120
Sema,118
Rajni,118
Hit,116
en,116
Fans,115
kola,115
Viswasam,115
Love,115
vikram,114
last,114
ka,113
time,113
masss,112
bigil,111
sethupathi,111
dhanush,110
thalapathy,108
hai,108
kuda,108
Pink,107
on,107
king,107
Dislike,106
Thalaivaa,106
one,105
film,105
tamil,105
all,104
so,104
Waiting,104
Oru,104
Bgm,103
vara,103
me,101
Indha,101
pink,101
vida,101
kaithi,101
Hindi,99
iruntha,99
lam,97
back,97
Kola,96
Kumar,95
Kaithi,95
panni,93
lama,91
this,90
lagi,89
mudiyathu,89
Karthi,89
Im,89
Ku,88
kena,88
dha,88
leval,88
Neraya,88
namma,87
Diwali,87
tunggu,87
ha,87
always,86
mari,86
yuvan,86
Telugu,85
varum,84
romba,83
wow,83
my,83
All,83
varanum,82
man,82
konjam,80
cinema,80
But,80
teaser,80
sk,80
aa,77
irukkum,77
idhu,77
ye,77
paduthuringa,76
gethu,76
daa,76
paaka,75
mokka,75
sweet,75
looks,74
padatha,74
verithanam,74
Akshay,74
You,74
Trending,73
sambavam,73
Da,72
No,71
untuk,71
saya,71
karthi,71
ipdi,71
vaa,70
podu,70
tharamana,70
blockbuster,70
kooda,70
times,69
Hollywood,69
Sk,68
unga,68
song,68
big,67
kumar,67
matum,67
lebih,67
pottu,66
solravanga,66
are,66
kitta,66
vetri,66
paarvai,65
tahu,65
pora,65
kerala,65
Asuran,65
rajni,65
awesome,65
video,65
inga,65
Dai,64
lvl,64
poi,63
be,63
epdi,63
hindi,63
eruku,63
Wow,63
ki,63
Namma,63
naa,63
neraiya,63
superstar,62
Ithu,62
voice,62
copy,62
vs,62
Ena,62
days,61
summa,61
ponga,61
pathutu,61
Ellam,61
Pakka,60
aana,60
not,60
after,60
varuthu,60
kaga,60
Level,60
dislikes,59
Dei,59
Arjun,59
irundha,59
SK,59
vanthu,59
award,59
innoruthara,59
iruka,59
only,58
Sethupathi,58
Nerkonda,57
irukka,57
Innum,57
eh,57
just,57
feel,57
yaru,57
ne,57
um,56
Karthik,56
veriyan,56
more,56
bro,56
asuran,56
full,56
antha,55
Ennada,55
by,55
padathula,55
version,54
Chiyaan,54
flop,54
vayasu,54
MASS,54
pannuga,54
Pongal,53
screen,53
combo,53
Siva,53
chiyaan,53
ila,53
naal,53
telugu,53
great,52
vantha,52
avan,52
panunga,52
kollama,51
next,51
maranam,51
un,51
parak,50
Rajinikanth,50
adichi,50
ana,50
thalaivaa,50
vere,50
paka,50
entha,49
Hero,49
Superstar,49
patha,49
ella,49
pandey,49
see,49
sonna,49
FANS,49
From,49
ena,49
potu,49
Mari,49
first,48
ivlo,48
good,48
Enga,48
Nalla,47
Mela,47
pathu,47
NKP,47
Remake,47
nkp,47
irruku,46
very,46
ma,46
diwali,46
evlo,46
veri,46
Makkal,45
iruken,45
varala,45
Sweet,45
irunthu,45
Na,45
thalaivaaa,45
set,45
Who,44
day,44
Vara,44
ke,44
ennada,44
vfx,44
varuma,44
ok,44
vanga,44
its,44
fight,44
ultimate,44
Likes,43
SUPER,43
makkal,43
karthik,43
pothu,43
naraya,43
ippadi,42
uh,42
Fan,42
story,42
Idhu,42
pls,42
buster,42
visvasam,42
LIKE,42
selvan,41
kku,41
irukaru,41
nala,41
nice,41
Kerala,41
dance,41
support,41
ippo,41
athu,41
dhaan,41
again,41
Nee,41
Comment,41
neriya,41
pathi,40
Pandey,40
sapda,40
inum,40
much,40
